run,epsilon,gamma,round,accuracy
3,4,0.002,12,0.9267
3,4,0.002,13,0.9274
3,4,0.002,14,0.9305
3,4,0.002,15,0.9314
3,4,0.002,16,0.9388
3,4,0.002,17,0.9424
3,4,0.002,18,0.9389
3,4,0.002,19,0.9424
4,4,0.002,1,0.0993
4,4,0.002,2,0.4707
4,4,0.002,3,0.7385
4,4,0.002,4,0.8102
4,4,0.002,5,0.8227
4,4,0.002,6,0.8319
4,4,0.002,7,0.8345
4,4,0.002,8,0.8417
4,4,0.002,9,0.8418
4,4,0.002,10,0.8465
4,4,0.002,11,0.8489
4,4,0.002,12,0.8531
4,4,0.002,13,0.8527
4,4,0.002,14,0.8551
4,4,0.002,15,0.8552
4,4,0.002,16,0.8555
4,4,0.002,17,0.8552
4,4,0.002,18,0.8581
4,4,0.002,19,0.8589
5,4,0.002,1,0.1073
5,4,0.002,2,0.7268
5,4,0.002,3,0.8605
5,4,0.002,4,0.8943
5,4,0.002,5,0.9073
5,4,0.002,6,0.9164
5,4,0.002,7,0.9215
5,4,0.002,8,0.9215
5,4,0.002,9,0.9273
5,4,0.002,10,0.9316
5,4,0.002,11,0.9345
5,4,0.002,12,0.9333
5,4,0.002,13,0.9346
5,4,0.002,14,0.9386
5,4,0.002,15,0.9396
5,4,0.002,16,0.9387
5,4,0.002,17,0.9426
5,4,0.002,18,0.9454
5,4,0.002,19,0.9458
1,4,0.004,1,0.1059
1,4,0.004,2,0.5261
1,4,0.004,3,0.659
1,4,0.004,4,0.691
1,4,0.004,5,0.7083
1,4,0.004,6,0.7206
1,4,0.004,7,0.7329
1,4,0.004,8,0.7344
1,4,0.004,9,0.7579
1,4,0.004,10,0.8191
1,4,0.004,11,0.8252
1,4,0.004,12,0.8318
1,4,0.004,13,0.8381
1,4,0.004,14,0.8341
1,4,0.004,15,0.8447
1,4,0.004,16,0.846
1,4,0.004,17,0.8478
1,4,0.004,18,0.8477
1,4,0.004,19,0.932
2,4,0.004,1,0.0864
2,4,0.004,2,0.5187
2,4,0.004,3,0.5713
2,4,0.004,4,0.7627
2,4,0.004,5,0.7879
2,4,0.004,6,0.8339
2,4,0.004,7,0.8909
2,4,0.004,8,0.9066
2,4,0.004,9,0.9177
2,4,0.004,10,0.916
2,4,0.004,11,0.9221
2,4,0.004,12,0.9269
2,4,0.004,13,0.9263
2,4,0.004,14,0.9304
2,4,0.004,15,0.9361
2,4,0.004,16,0.9343
2,4,0.004,17,0.937
2,4,0.004,18,0.938
2,4,0.004,19,0.9409
3,4,0.004,1,0.093
3,4,0.004,2,0.6414
3,4,0.004,3,0.8086
3,4,0.004,4,0.8681
3,4,0.004,5,0.8782
3,4,0.004,6,0.896
3,4,0.004,7,0.9059
3,4,0.004,8,0.9144
3,4,0.004,9,0.9201
3,4,0.004,10,0.9225
3,4,0.004,11,0.926
3,4,0.004,12,0.9278
3,4,0.004,13,0.9266
3,4,0.004,14,0.9362
3,4,0.004,15,0.9245
3,4,0.004,16,0.934
3,4,0.004,17,0.9355
3,4,0.004,18,0.9395
3,4,0.004,19,0.9363
4,4,0.004,1,0.0772
4,4,0.004,2,0.6406
4,4,0.004,3,0.8365
4,4,0.004,4,0.8618
4,4,0.004,5,0.896
4,4,0.004,6,0.8937
4,4,0.004,7,0.9058
4,4,0.004,8,0.9086
4,4,0.004,9,0.9214
4,4,0.004,10,0.9244
4,4,0.004,11,0.9316
4,4,0.004,12,0.9289
4,4,0.004,13,0.9341
4,4,0.004,14,0.9341
4,4,0.004,15,0.9367
4,4,0.004,16,0.9386
4,4,0.004,17,0.9426
4,4,0.004,18,0.9407
4,4,0.004,19,0.9426
5,4,0.004,1,0.1257
5,4,0.004,2,0.4823
5,4,0.004,3,0.6454
5,4,0.004,4,0.712
5,4,0.004,5,0.7321
5,4,0.004,6,0.7331
5,4,0.004,7,0.7402
5,4,0.004,8,0.7435
